구어	klue-dp-v1_dev_01010_airbnb	저희일행모두 첫대만여행 무사히 잘 다녀왔습니다.	저희/NP*일행/NNG*모두/MAG 첫/MM*대만/NNP*여행/NNG 무사히/MAG 잘/MAG 다니/VV+어/EC*오/VX+았/EP*습니다/EF*./SF	저희/NP*일행/NNG*모두/MAG 첫/MM*대만/NNP*여행/NNG 무사히/MAG 잘/MAG 다녀/VV:DIC*왔/VX:DIC*습니다/EF*./SF	저/B-NP 희/I-NP 일/B-NNG 행/I-NNG 모/B-MAG 두/I-MAG @B@ 첫/B-MM 대/B-NNP 만/I-NNP 여/B-NNG 행/I-NNG @B@ 무/B-MAG 사/I-MAG 히/I-MAG @B@ 잘/B-MAG @B@ 다/B-VV 녀/I-VV:DIC 왔/B-VX:DIC 습/B-EF 니/I-EF 다/I-EF ./B-SF	녀왔|습/EF@I-VV:DIC=니/VV+어/EC*오/VX+았/EP	-
구어	klue-dp-v1_dev_01011_airbnb	이미지와 유사한 실제 모습 호스트가 친절하고 유쾌함.	이미지/NNG*와/JKB 유사/NNG*하/XSA+ㄴ/ETM 실제/NNG 모습/NNG 호스트/NNG*가/JKS 친절/NNG*하/XSA*고/EC 유쾌하/VA+ㅁ/ETN*./SF	이미지/NNG*와/JKB 유사/NNG*한/XSA:DIC 실제/NNG 모습/NNG 호스트/NNG*가/JKS 친절/NNG*하/XSA*고/EC 유쾌함/VA:DIC*./SF	이/B-NNG 미/I-NNG 지/I-NNG 와/B-JKB @B@ 유/B-NNG 사/I-NNG 한/B-XSA:DIC @B@ 실/B-NNG 제/I-NNG @B@ 모/B-NNG 습/I-NNG @B@ 호/B-NNG 스/I-NNG 트/I-NNG 가/B-JKS @B@ 친/B-NNG 절/I-NNG 하/B-XSA 고/B-EC @B@ 유/B-VA 쾌/I-VA 함/I-VA:DIC ./B-SF	한@B-XSA:DIC=하/XSA+ㄴ/ETM 함|./SF@I-VA:DIC=하/VA+ㅁ/ETN	-
구어	klue-dp-v1_dev_01012_airbnb	하늘이 보이는 다락방 공간이 너무 매력있는 집이에요.	하늘/NNG*이/JKS 보이/VV*는/ETM 다락/NNG*방/NNG 공간/NNG*이/JKS 너무/MAG 매력/NNG*있/VV*는/ETM 집/NNG*이/VCP*에요/EF*./SF	하늘/NNG*이/JKS 보이/VV*는/ETM 다락/NNG*방/NNG 공간/NNG*이/JKS 너무/MAG 매력/NNG*있/VV*는/ETM 집/NNG*이/VCP*에요/EF*./SF	하/B-NNG 늘/I-NNG 이/B-JKS @B@ 보/B-VV 이/I-VV 는/B-ETM @B@ 다/B-NNG 락/I-NNG 방/B-NNG @B@ 공/B-NNG 간/I-NNG 이/B-JKS @B@ 너/B-MAG 무/I-MAG @B@ 매/B-NNG 력/I-NNG 있/B-VV 는/B-ETM @B@ 집/B-NNG 이/B-VCP 에/B-EF 요/I-EF ./B-SF		-
구어	klue-dp-v1_dev_01013_airbnb	숙소의 위치는 관광하기에 편리한 중심부에 있어 편안합니다.	숙소/NNG*의/JKG 위치/NNG*는/JX 관광/NNG*하/XSV*기/ETN*에/JKB 편리/NNG*하/XSA+ㄴ/ETM 중심/NNG*부/XSN*에/JKB 있/VV*어/EC 편안/NNG*하/XSA+ㅂ/EF*니다/EF*./SF	숙소/NNG*의/JKG 위치/NNG*는/JX 관광/NNG*하/XSV*기/ETN*에/JKB 편리/NNG*한/XSA:DIC 중심/NNG*부/XSN*에/JKB 있/VV*어/EC 편안/NNG*합/XSA:DIC*니다/EF*./SF	숙/B-NNG 소/I-NNG 의/B-JKG @B@ 위/B-NNG 치/I-NNG 는/B-JX @B@ 관/B-NNG 광/I-NNG 하/B-XSV 기/B-ETN 에/B-JKB @B@ 편/B-NNG 리/I-NNG 한/B-XSA:DIC @B@ 중/B-NNG 심/I-NNG 부/B-XSN 에/B-JKB @B@ 있/B-VV 어/B-EC @B@ 편/B-NNG 안/I-NNG 합/B-XSA:DIC 니/I-EF 다/I-EF ./B-SF	한@B-XSA:DIC=하/XSA+ㄴ/ETM 합|니/EF@B-XSA:DIC=하/XSA+ㅂ/EF	-
구어	klue-dp-v1_dev_01014_airbnb	13박 여행 중, 가장 최고의 집이었습니다.	13/SN*박/NNB 여행/NNG 중/NNB*,/SP 가장/MAG 최고/NNG*의/JKG 집/NNG*이/VCP*었/EP*습니다/EF*./SF	13/SN*박/NNB 여행/NNG 중/NNB*,/SP 가장/MAG 최고/NNG*의/JKG 집/NNG*이/VCP*었/EP*습니다/EF*./SF	1/B-SN 3/I-SN 박/B-NNB @B@ 여/B-NNG 행/I-NNG @B@ 중/B-NNB ,/B-SP @B@ 가/B-MAG 장/I-MAG @B@ 최/B-NNG 고/I-NNG 의/B-JKG @B@ 집/B-NNG 이/B-VCP 었/B-EP 습/B-EF 니/I-EF 다/I-EF ./B-SF		-
구어	klue-dp-v1_dev_01015_airbnb	24시간 운영하는 맥도날드 있으니깐 참고하세요.	24/SN*시간/NNG 운영/NNG*하/XSV*는/ETM 맥도날드/NNP 있/VX*으니까/EC+ㄴ/JX 참고/NNG*하/XSV*시/EP+어/EF*요/EF*./SF	24/SN*시간/NNG 운영/NNG*하/XSV*는/ETM 맥도날드/NNP 있/VX*으니깐/EC:DIC 참고/NNG*하/XSV*세/EP:DIC*요/EF*./SF	2/B-SN 4/I-SN 시/B-NNG 간/I-NNG @B@ 운/B-NNG 영/I-NNG 하/B-XSV 는/B-ETM @B@ 맥/B-NNP 도/I-NNP 날/I-NNP 드/I-NNP @B@ 있/B-VX 으/B-EC 니/I-EC 깐/I-EC:DIC @B@ 참/B-NNG 고/I-NNG 하/B-XSV 세/B-EP:DIC 요/I-EF ./B-SF	깐@I-EC:DIC=까/EC+ㄴ/JX 세|요/EF@B-EP:DIC=시/EP+어/EF	-
구어	klue-dp-v1_dev_01016_airbnb	다시 퀘벡에 온다면 반드시 이 숙소에 머물 것입니다.	다시/MAG 퀘벡/NNP*에/JKB 오/VV+ㄴ/EC*다면/EC 반드시/MAG 이/MM 숙소/NNG*에/JKB 머무르/VV+ㄹ/ETM 것/NNB*이/VCP+ㅂ/EF*니다/EF*./SF	다시/MAG 퀘벡/NNP*에/JKB 온/VV:DIC*다면/EC 반드시/MAG 이/MM 숙소/NNG*에/JKB 머물/VV:DIC 것/NNB*입/VCP:DIC*니다/EF*./SF	다/B-MAG 시/I-MAG @B@ 퀘/B-NNP 벡/I-NNP 에/B-JKB @B@ 온/B-VV:DIC 다/I-EC 면/I-EC @B@ 반/B-MAG 드/I-MAG 시/I-MAG @B@ 이/B-MM @B@ 숙/B-NNG 소/I-NNG 에/B-JKB @B@ 머/B-VV 물/I-VV:DIC @B@ 것/B-NNB 입/B-VCP:DIC 니/I-EF 다/I-EF ./B-SF	온|다/EC@B-VV:DIC=오/VV+ㄴ/EC 물@I-VV:DIC=무르/VV+ㄹ/ETM 입|니/EF@B-VCP:DIC=이/VCP+ㅂ/EF	-
구어	klue-dp-v1_dev_01017_airbnb	사진보다 실제로 봤을때 더 아기자기하고 귀여웠습니다.	사진/NNG*보다/JKB 실제로/MAG 보/VV+았/EP*을/ETM*때/NNG 더/MAG 아기자기/MAG*하/XSA*고/EC 귀엽/VA*었/EP*습니다/EF*./SF	사진/NNG*보다/JKB 실제로/MAG 봤/VV:DIC*을/ETM*때/NNG 더/MAG 아기자기/MAG*하/XSA*고/EC 귀여/VA:DIC*웠/EP:DIC*습니다/EF*./SF	사/B-NNG 진/I-NNG 보/B-JKB 다/I-JKB @B@ 실/B-MAG 제/I-MAG 로/I-MAG @B@ 봤/B-VV:DIC 을/B-ETM 때/B-NNG @B@ 더/B-MAG @B@ 아/B-MAG 기/I-MAG 자/I-MAG 기/I-MAG 하/B-XSA 고/B-EC @B@ 귀/B-VA 여/I-VA:DIC 웠/B-EP:DIC 습/B-EF 니/I-EF 다/I-EF ./B-SF	봤|을/ETM@B-VV:DIC=보/VV+았/EP 여웠|습/EF@I-VA:DIC=엽/VA*었/EP	-
구어	klue-dp-v1_dev_01018_airbnb	세심한 배려와 훌륭한 호스팅에 감동받았습니다.	세심하/VA+ㄴ/ETM 배려/NNG*와/JC 훌륭하/VA+ㄴ/ETM 호스팅/NNG*에/JKB 감동/NNG*받/VV*았/EP*습니다/EF*./SF	세심한/VA:DIC 배려/NNG*와/JC 훌륭한/VA:DIC 호스팅/NNG*에/JKB 감동/NNG*받/VV*았/EP*습니다/EF*./SF	세/B-VA 심/I-VA 한/I-VA:DIC @B@ 배/B-NNG 려/I-NNG 와/B-JC @B@ 훌/B-VA 륭/I-VA 한/I-VA:DIC @B@ 호/B-NNG 스/I-NNG 팅/I-NNG 에/B-JKB @B@ 감/B-NNG 동/I-NNG 받/B-VV 았/B-EP 습/B-EF 니/I-EF 다/I-EF ./B-SF	한@I-VA:DIC=하/VA+ㄴ/ETM 한@I-VA:DIC=하/VA+ㄴ/ETM	-
구어	klue-dp-v1_dev_01019_airbnb	허니문숙소로 탁월한 선택이었던것 같아요.	허니문/NNG*숙소/NNG*로/JKB 탁월하/VA+ㄴ/ETM 선택/NNG*이/VCP*었/EP*던/ETM*것/NNB 같/VA*아요/EF*./SF	허니문/NNG*숙소/NNG*로/JKB 탁월한/VA:DIC 선택/NNG*이/VCP*었/EP*던/ETM*것/NNB 같/VA*아요/EF*./SF	허/B-NNG 니/I-NNG 문/I-NNG 숙/B-NNG 소/I-NNG 로/B-JKB @B@ 탁/B-VA 월/I-VA 한/I-VA:DIC @B@ 선/B-NNG 택/I-NNG 이/B-VCP 었/B-EP 던/B-ETM 것/B-NNB @B@ 같/B-VA 아/B-EF 요/I-EF ./B-SF	한@I-VA:DIC=하/VA+ㄴ/ETM	-
구어	klue-dp-v1_dev_01020_airbnb	숙소는 수미요시 역에서 비교적 가까운 편이었습니다.	숙소/NNG*는/JX 수미요시/NNP 역/NNG*에서/JKB 비교/NNG*적/XSN 가깝/VA*ㄴ/ETM 편/NNB*이/VCP*었/EP*습니다/EF*./SF	숙소/NNG*는/JX 수미요시/NNP 역/NNG*에서/JKB 비교/NNG*적/XSN 가까/VA:DIC*운/ETM:DIC 편/NNB*이/VCP*었/EP*습니다/EF*./SF	숙/B-NNG 소/I-NNG 는/B-JX @B@ 수/B-NNP 미/I-NNP 요/I-NNP 시/I-NNP @B@ 역/B-NNG 에/B-JKB 서/I-JKB @B@ 비/B-NNG 교/I-NNG 적/B-XSN @B@ 가/B-VA 까/I-VA:DIC 운/B-ETM:DIC @B@ 편/B-NNB 이/B-VCP 었/B-EP 습/B-EF 니/I-EF 다/I-EF ./B-SF	까운@I-VA:DIC=깝/VA*ㄴ/ETM	-
구어	klue-dp-v1_dev_01021_airbnb	한번에 가는 트램이있고 역도 집 근처에요.	한/MM*번/NNB*에/JKB 가/VV*는/ETM 트램/NNG*이/JKS*있/VA*고/EC 역/NNG*도/JX 집/NNG 근처/NNG*에/JKB*요/EF*./SF	한/MM*번/NNB*에/JKB 가/VV*는/ETM 트램/NNG*이/JKS*있/VA*고/EC 역/NNG*도/JX 집/NNG 근처/NNG*에/JKB*요/EF*./SF	한/B-MM 번/B-NNB 에/B-JKB @B@ 가/B-VV 는/B-ETM @B@ 트/B-NNG 램/I-NNG 이/B-JKS 있/B-VA 고/B-EC @B@ 역/B-NNG 도/B-JX @B@ 집/B-NNG @B@ 근/B-NNG 처/I-NNG 에/B-JKB 요/B-EF ./B-SF		-
구어	klue-dp-v1_dev_01022_airbnb	제가 방문했던 모든 에어비앤비 숙소중에 가장 청결했어요!	제/NP*가/JKS 방문/NNG*하/XSV+였/EP*던/ETM 모든/MM 에어비앤비/NNP 숙소/NNG*중/NNB*에/JKB 가장/MAG 청결/NNG*하/XSV+였/EP*어요/EF*!/SF	제/NP*가/JKS 방문/NNG*했/XSV:DIC*던/ETM 모든/MM 에어비앤비/NNP 숙소/NNG*중/NNB*에/JKB 가장/MAG 청결/NNG*했/XSV:DIC*어요/EF*!/SF	제/B-NP 가/B-JKS @B@ 방/B-NNG 문/I-NNG 했/B-XSV:DIC 던/B-ETM @B@ 모/B-MM 든/I-MM @B@ 에/B-NNP 어/I-NNP 비/I-NNP 앤/I-NNP 비/I-NNP @B@ 숙/B-NNG 소/I-NNG 중/B-NNB 에/B-JKB @B@ 가/B-MAG 장/I-MAG @B@ 청/B-NNG 결/I-NNG 했/B-XSV:DIC 어/B-EF 요/I-EF !/B-SF	했|던/ETM@B-XSV:DIC=하/XSV+였/EP 했|어/EF@B-XSV:DIC=하/XSV+였/EP	-
구어	klue-dp-v1_dev_01023_airbnb	따라서 가족이 아닌 그룹 구성원이라면 화장실 사용이 불편할 수도 있는 상황입니다.	따라서/MAJ 가족/NNG*이/JKC 아니/VCN+ㄴ/ETM 그룹/NNG 구성원/NNG*이/VCP*라면/EC 화장실/NNG 사용/NNG*이/JKS 불편/NNG*하/XSA+ㄹ/ETM 수/NNB*도/JX 있/VA*는/ETM 상황/NNG*이/VCP+ㅂ/EF*니다/EF*./SF	따라서/MAJ 가족/NNG*이/JKC 아닌/VCN:DIC 그룹/NNG 구성원/NNG*이/VCP*라면/EC 화장실/NNG 사용/NNG*이/JKS 불편/NNG*할/XSA:DIC 수/NNB*도/JX 있/VA*는/ETM 상황/NNG*입/VCP:DIC*니다/EF*./SF	따/B-MAJ 라/I-MAJ 서/I-MAJ @B@ 가/B-NNG 족/I-NNG 이/B-JKC @B@ 아/B-VCN 닌/I-VCN:DIC @B@ 그/B-NNG 룹/I-NNG @B@ 구/B-NNG 성/I-NNG 원/I-NNG 이/B-VCP 라/B-EC 면/I-EC @B@ 화/B-NNG 장/I-NNG 실/I-NNG @B@ 사/B-NNG 용/I-NNG 이/B-JKS @B@ 불/B-NNG 편/I-NNG 할/B-XSA:DIC @B@ 수/B-NNB 도/B-JX @B@ 있/B-VA 는/B-ETM @B@ 상/B-NNG 황/I-NNG 입/B-VCP:DIC 니/I-EF 다/I-EF ./B-SF	닌@I-VCN:DIC=니/VCN+ㄴ/ETM 할@B-XSA:DIC=하/XSA+ㄹ/ETM 입|니/EF@B-VCP:DIC=이/VCP+ㅂ/EF	-
구어	klue-dp-v1_dev_01024_airbnb	다음에 런던에와도 또 방문 할 것입니다.	다음/NNG*에/JKB 런던/NNP*에/JKB*오/VV+아/EC*도/EC 또/MAG 방문/NNG 하/VV+ㄹ/ETM 것/NNB*이/VCP+ㅂ/EF*니다/EF*./SF	다음/NNG*에/JKB 런던/NNP*에/JKB*와/VV:DIC*도/EC 또/MAG 방문/NNG 할/VV:DIC 것/NNB*입/VCP:DIC*니다/EF*./SF	다/B-NNG 음/I-NNG 에/B-JKB @B@ 런/B-NNP 던/I-NNP 에/B-JKB 와/B-VV:DIC 도/I-EC @B@ 또/B-MAG @B@ 방/B-NNG 문/I-NNG @B@ 할/B-VV:DIC @B@ 것/B-NNB 입/B-VCP:DIC 니/I-EF 다/I-EF ./B-SF	와|도/EC@B-VV:DIC=오/VV+아/EC 할@B-VV:DIC=하/VV+ㄹ/ETM 입|니/EF@B-VCP:DIC=이/VCP+ㅂ/EF	-
구어	klue-dp-v1_dev_01025_airbnb	지하철까지 도보로 10분정도 소요됩니다.	지하철/NNG*까지/JX 도보/NNG*로/JKB 10/SN*분/NNB*정도/NNG 소요/NNG*되/XSV+ㅂ/EF*니다/EF*./SF	지하철/NNG*까지/JX 도보/NNG*로/JKB 10/SN*분/NNB*정도/NNG 소요/NNG*됩/XSV:DIC*니다/EF*./SF	지/B-NNG 하/I-NNG 철/I-NNG 까/B-JX 지/I-JX @B@ 도/B-NNG 보/I-NNG 로/B-JKB @B@ 1/B-SN 0/I-SN 분/B-NNB 정/B-NNG 도/I-NNG @B@ 소/B-NNG 요/I-NNG 됩/B-XSV:DIC 니/I-EF 다/I-EF ./B-SF	됩|니/EF@B-XSV:DIC=되/XSV+ㅂ/EF	-
구어	klue-dp-v1_dev_01026_airbnb	저는 비엔나 다시가도 여기서 묵을거예요!	저/NP*는/JX 비엔나/NNP 다시/MAG*가/VV*도/EC 여기/NP*서/JKB 묵/VV*을/ETM*것/NNB*이/VCP+어/EF*요/EF*!/SF	저/NP*는/JX 비엔나/NNP 다시/MAG*가/VV*도/EC 여기/NP*서/JKB 묵/VV*을/ETM*거/NNB:DIC*예/VCP:DIC*요/EF*!/SF	저/B-NP 는/B-JX @B@ 비/B-NNP 엔/I-NNP 나/I-NNP @B@ 다/B-MAG 시/I-MAG 가/B-VV 도/B-EC @B@ 여/B-NP 기/I-NP 서/B-JKB @B@ 묵/B-VV 을/B-ETM 거/B-NNB:DIC 예/B-VCP:DIC 요/I-EF !/B-SF	거예|요/EF@B-NNB:DIC=것/NNB*이/VCP+어/EF	-
